,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
30,30,neos-850681.mps.gz,11.967252400000001,18000.820916000004,1.0,880228.4,1,1,1,1,11.967252400000001,1.0,11.967252400000001,11.967252400000001,11.967252400000001,1.0,1.0,1.0
31,31,neos-827015.mps.gz,1043.9401911999998,692.5334836,296.0,151.0,0,1,0,0,692.5334836,151.0,692.5334836,692.5334836,1043.9401911999998,151.0,151.0,296.0
32,32,supportcase40.mps.gz,1214.6557948,1256.4229197999998,8835.0,70894.0,1,1,1,1,1214.6557948,8835.0,1214.6557948,1214.6557948,1214.6557948,8835.0,8835.0,8835.0
33,33,neos-956971.mps.gz,1231.7403266000001,18057.1650726,61.0,7509.8,1,1,1,1,1231.7403266000001,61.0,1231.7403266000001,1231.7403266000001,1231.7403266000001,61.0,61.0,61.0
34,34,umts.mps.gz,1079.8409916,11605.7451444,144227.0,3106370.0,0,1,1,1,1079.8409916,144227.0,1079.8409916,11605.7451444,1079.8409916,144227.0,3106370.0,144227.0
35,35,mspsphard01i.mps.gz,10493.451548000001,3456.3760672000003,323371.0,152457.0,0,1,1,0,3456.3760672000003,152457.0,10493.451548000001,3456.3760672000003,10493.451548000001,323371.0,152457.0,323371.0
36,36,ci-s4.mps.gz,101.8296238,32.1247382,81683.0,36900.0,0,0,0,0,32.1247382,36900.0,32.1247382,32.1247382,32.1247382,36900.0,36900.0,36900.0
37,37,Test3.mps.gz,7.7357428,21.759134,1.0,426.0,0,1,1,1,7.7357428,1.0,7.7357428,21.759134,7.7357428,1.0,426.0,1.0
38,38,neos-4722843-widden.mps.gz,1266.7531482,2230.9398754000003,1048.0,18827.0,1,1,1,1,1266.7531482,1048.0,1266.7531482,1266.7531482,1266.7531482,1048.0,1048.0,1048.0
39,39,n3div36.mps.gz,14963.406998,18020.7328356,306128.0,198119.8,1,1,1,1,14963.406998,198119.8,14963.406998,14963.406998,14963.406998,306128.0,306128.0,306128.0
40,40,map06.mps.gz,922.9703234000001,748.2965506,738.0,756.0,1,1,0,0,748.2965506,738.0,748.2965506,922.9703234000001,922.9703234000001,756.0,738.0,738.0
41,41,neos-4738912-atrato.mps.gz,2764.0768872,67.2240664,278355.0,4714.0,1,0,0,0,67.2240664,4714.0,67.2240664,2764.0768872,67.2240664,4714.0,278355.0,4714.0
42,42,neos-4971100-bodrog.mps.gz,2.8589262000000004,2.8768458000000003,1.0,1.0,0,1,1,1,2.8589262000000004,1.0,2.8589262000000004,2.8768458000000003,2.8589262000000004,1.0,1.0,1.0
43,43,neos-827175.mps.gz,9.162978999999998,9.131001000000001,1.0,1.0,0,1,0,0,9.131001000000001,1.0,9.131001000000001,9.131001000000001,9.162978999999998,1.0,1.0,1.0
44,44,gfd-schedulen55f2d50m30k3i.mps.gz,15849.550538000001,18076.5694624,5998.0,17451.8,1,1,1,1,15849.550538000001,5998.0,15849.550538000001,15849.550538000001,15849.550538000001,5998.0,5998.0,5998.0
