,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
23,app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,8.135005,-3.0,0.0,6524,84,0,12,0.4774549999999999,0.578427,8.11303,16,1,optimal,DONE
23,app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,7.947778,-3.0,0.0,6524,84,0,12,0.482525,0.58487,7.926242,4,1,optimal,DONE
23,app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,8.122514,-3.0,0.0,6524,84,0,12,0.477466,0.578437,8.100557,8,1,optimal,DONE
23,app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,8.125862,-3.0,0.0,6524,84,0,12,0.477473,0.57844,8.102535,32,1,optimal,DONE
24,app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1478.470013,-41.0,0.0,220430,16922,0,40804,10.356502,17.098876,276.582867,2,1,optimal,DONE
24,app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1694.185667,-41.0,0.0,220430,16922,0,40804,10.361311,21.661235,402.058277,16,1,optimal,DONE
24,app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1681.461485,-41.0,0.0,220430,16922,0,40804,10.405,21.463929,393.683652,4,1,optimal,DONE
24,app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1692.898043,-41.0,0.0,220430,16922,0,40804,10.371554,21.738935,400.329126,32,1,optimal,DONE
24,app1-2.mps.gz,-266.0,-262.3455439392425,186,-54.0,-41.0,1691.825152,-41.0,0.0,220430,16922,0,40804,10.323316,21.325642,393.406419,8,1,optimal,DONE
25,app2-1.mps.gz,19294.25,0.0,0,19294.25,19294.25,0.4383809999999999,19294.25,0.0,997,0,0,1,0.1969749999999999,0.0,0.0,16,1,optimal,DONE
25,app2-1.mps.gz,19294.25,0.0,0,19294.25,19294.25,0.423188,19294.25,0.0,997,0,0,1,0.197357,0.0,0.0,8,1,optimal,DONE
25,app2-1.mps.gz,19294.25,0.0,0,19294.25,19294.25,0.421506,19294.25,0.0,997,0,0,1,0.1969749999999999,0.0,0.0,32,1,optimal,DONE
25,app2-1.mps.gz,19294.25,0.0,0,19294.25,19294.25,0.421506,19294.25,0.0,997,0,0,1,0.1971109999999999,0.0,0.0,4,1,optimal,DONE
25,app2-1.mps.gz,19294.25,0.0,0,19294.25,19294.25,0.478024,19294.25,0.0,997,0,0,1,0.2173109999999999,0.0,0.0,2,1,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,212040.35714285716,59,212040.35714285716,212040.5,1.567198,212040.5,0.0,1110,0,0,1,0.057275,0.088543,0.587638,2,1,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,212040.35714285716,59,212040.35714285716,212040.5,1.59307,212040.5,0.0,1110,0,0,1,0.053429,0.0842369999999999,0.585476,32,1,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,212040.35714285716,59,212040.35714285716,212040.5,1.593089,212040.5,0.0,1110,0,0,1,0.053429,0.084238,0.585499,8,1,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,212040.35714285716,59,212040.35714285716,212040.5,1.567198,212040.5,0.0,1110,0,0,1,0.057274,0.088542,0.587637,4,1,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,212040.35714285716,59,212040.35714285716,212040.5,1.593246,212040.5,0.0,1110,0,0,1,0.0534279999999999,0.0842369999999999,0.5854969999999999,16,1,optimal,DONE
27,app3.mps.gz,-31829377681.21209,5627880.206645966,78,5743108.628356934,5751714.328903198,5.575653,5751714.328903198,0.0,14602,256,0,3,0.072532,0.135538,5.536816,32,1,optimal,DONE
