,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
25,app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.43095,19294.25,0.0,997,0,0,1,0.201488,0,0,8,0,optimal,DONE
25,app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.4437,19294.25,0.0,997,0,0,1,0.201488,0,0,4,0,optimal,DONE
25,app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.43415600000000004,19294.25,0.0,997,0,0,1,0.201511,0,0,16,0,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,0,0,212040.35714285716,212040.5,0.36705,212040.5,0.0,343,0,0,1,0.057464,0,0,32,0,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,0,0,212040.35714285716,212040.5,0.367049,212040.5,0.0,343,0,0,1,0.057265,0,0,16,0,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,0,0,212040.35714285716,212040.5,0.387411,212040.5,0.0,343,0,0,1,0.055665,0,0,8,0,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,0,0,212040.35714285716,212040.5,0.38741,212040.5,0.0,343,0,0,1,0.055664,0,0,4,0,optimal,DONE
26,app2-2.mps.gz,212040.35714285716,0,0,212040.35714285716,212040.5,0.3875,212040.5,0.0,343,0,0,1,0.055666,0,0,2,0,optimal,DONE
27,app3.mps.gz,-31829377681.212086,0,0,5644070.732055664,5751714.3289051065,1.660805,5751714.3289051065,0.0,724,0,0,98,0.07088,0,0,4,0,optimal,DONE
27,app3.mps.gz,-31829377681.212086,0,0,5644070.732055664,5751714.3289051065,1.6748900000000002,5751714.3289051065,0.0,724,0,0,98,0.069759,0,0,32,0,optimal,DONE
27,app3.mps.gz,-31829377681.212086,0,0,5644070.732055664,5751714.3289051065,1.7122939999999998,5751714.3289051065,0.0,724,0,0,98,0.07137099999999999,0,0,16,0,optimal,DONE
27,app3.mps.gz,-31829377681.212086,0,0,5644070.732055664,5751714.3289051065,1.603825,5751714.3289051065,0.0,724,0,0,98,0.069664,0,0,2,0,optimal,DONE
