,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
541,dws008-03.mps.gz,4,18000.00395,162989,18000.01206,489019,1.3599158269999998,1.075331928,18000.00395,162989
542,dws008-03.mps.gz,8,18000.00673,161352,18000.00776,479297,1.361235084,1.0776525240000001,18000.00673,161352
543,dws008-03.mps.gz,16,18000.004409999998,161630,18000.00778,411509,1.361158004,1.111976429,18000.004409999998,161630
544,dws008-03.mps.gz,32,18000.00485,164027,18000.008690000002,440983,1.3591703069999999,1.093111816,18000.00485,164027
575,ex10.mps.gz,2,18000.080159999998,1,18000.02693,1,1e+20,1e+20,18000.02693,1
576,ex10.mps.gz,4,18000.13779,1,18000.0499,1,1e+20,1e+20,18000.0499,1
577,ex10.mps.gz,8,18000.08141,1,18000.07437,1,1e+20,1e+20,18000.07437,1
578,ex10.mps.gz,16,18000.05654,1,18000.03871,1,1e+20,1e+20,18000.03871,1
579,ex10.mps.gz,32,18000.07556,1,18000.05509,1,1e+20,1e+20,18000.05509,1
580,ex9.mps.gz,2,18000.17154,1,18000.04329,1,1e+20,1e+20,18000.04329,1
581,ex9.mps.gz,4,18000.21231,1,18000.04161,1,1e+20,1e+20,18000.04161,1
582,ex9.mps.gz,8,18000.08971,1,18000.01754,1,1e+20,1e+20,18000.01754,1
583,ex9.mps.gz,16,18000.04224,1,18001.44232,1,1e+20,1e+20,18000.04224,1
584,ex9.mps.gz,32,18000.07171,1,18001.81291,1,1e+20,1e+20,18000.07171,1
625,fhnw-sq2.mps.gz,2,18000.00651,14250482,18000.00344,22548956,1e+20,1e+20,18000.00344,14250482
626,fhnw-sq2.mps.gz,4,18000.003630000003,12391586,18000.00185,21917539,1e+20,1e+20,18000.00185,12391586
627,fhnw-sq2.mps.gz,8,18000.0044,12311332,18000.00285,22358004,1e+20,1e+20,18000.00285,12311332
628,fhnw-sq2.mps.gz,16,18000.0034,12315486,18000.003119999998,24103496,1e+20,1e+20,18000.003119999998,12315486
629,fhnw-sq2.mps.gz,32,18000.00402,12295040,18000.003259999998,25267902,1e+20,1e+20,18000.003259999998,12295040
695,germanrr.mps.gz,2,18000.00109,3239,18000.00967,272696,0.018261628000000002,0.045120578,18000.00109,3239
696,germanrr.mps.gz,4,18000.00071,3077,18000.00807,273588,0.01826428,0.045120099000000004,18000.00071,3077
697,germanrr.mps.gz,8,18000.00139,3253,18000.01068,271017,0.018261628000000002,0.045120938,18000.00139,3253
698,germanrr.mps.gz,16,18000.00207,2930,18000.01339,265226,0.018276603,0.04512748900000001,18000.00207,2930
699,germanrr.mps.gz,32,18000.002109999998,5122,18000.009169999998,280827,0.018256466000000002,0.045115889000000006,18000.002109999998,5122
700,germany50-UUM.mps.gz,2,18000.00319,287248,18000.008869999998,398142,0.024896672999999998,0.034843872000000005,18000.00319,287248
701,germany50-UUM.mps.gz,4,18000.00359,285938,18000.01138,388153,0.024906038999999998,0.034862326,18000.00359,285938
702,germany50-UUM.mps.gz,8,18000.0036,279768,18000.007230000003,375239,0.024955897,0.034883926,18000.0036,279768
703,germany50-UUM.mps.gz,16,18000.00444,277361,18000.00679,375190,0.024981191,0.034883926,18000.00444,277361
704,germany50-UUM.mps.gz,32,18000.00347,286105,18000.00733,412062,0.024906038999999998,0.034813257,18000.00347,286105
705,gfd-schedulen180f7d50m30k18.mps.gz,2,18111.22103,11,18002.50575,9,1e+20,1e+20,18002.50575,9
706,gfd-schedulen180f7d50m30k18.mps.gz,4,18004.88394,11,18003.471559999998,9,1e+20,1e+20,18003.471559999998,9
707,gfd-schedulen180f7d50m30k18.mps.gz,8,18208.11114,11,18001.51248,9,1e+20,1e+20,18001.51248,9
708,gfd-schedulen180f7d50m30k18.mps.gz,16,18001.96626,11,18003.769940000002,9,1e+20,1e+20,18001.96626,9
709,gfd-schedulen180f7d50m30k18.mps.gz,32,18005.360109999998,11,18009.095719999998,9,1e+20,1e+20,18005.360109999998,9
725,gmut-75-50.mps.gz,2,18000.01284,360206,18000.05295,381285,0.00230362,0.000964351,18000.01284,360206
726,gmut-75-50.mps.gz,4,18000.01449,352807,18000.02749,390011,0.00230362,0.000964351,18000.01449,352807
727,gmut-75-50.mps.gz,8,18000.01284,340488,18000.0115,376424,0.00230362,0.000964351,18000.0115,340488
728,gmut-75-50.mps.gz,16,18000.01257,332043,18000.01126,401236,0.00230362,0.000964351,18000.01126,332043
729,gmut-75-50.mps.gz,32,18000.01627,360733,18000.01061,352355,0.00230362,0.000964351,18000.01061,352355
740,graph20-80-1rand.mps.gz,2,18000.00188,402,18000.00459,1304,4.518367448,14.41666667,18000.00188,402
741,graph20-80-1rand.mps.gz,4,18000.0065,405,18000.00484,1401,4.518367448,14.41666667,18000.00484,405
742,graph20-80-1rand.mps.gz,8,18000.00138,405,18000.00362,1431,4.518367448,14.41666667,18000.00138,405
743,graph20-80-1rand.mps.gz,16,18000.00726,405,18000.00482,1432,4.518367448,14.36653761,18000.00482,405
744,graph20-80-1rand.mps.gz,32,18000.01164,405,18000.00432,1403,4.518367448,14.41666667,18000.00432,405
770,hanoi5.mps.gz,2,18000.00059,111862,18000.000669999998,145403,1e+20,1e+20,18000.00059,111862
771,hanoi5.mps.gz,4,18000.00062,109297,18000.00046,151920,1e+20,1e+20,18000.00046,109297
772,hanoi5.mps.gz,8,18000.00353,109757,18000.000790000002,159273,1e+20,1e+20,18000.000790000002,109757
773,hanoi5.mps.gz,16,18000.00882,118177,18000.000640000002,161433,1e+20,1e+20,18000.000640000002,118177
