,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
229,rail507.mps.gz,282.55678780000005,345.464821,836.0,1010.0,1,1,1,1,282.55678780000005,836.0,282.55678780000005,282.55678780000005,282.55678780000005,836.0,836.0,836.0
230,gen-ip054.mps.gz,1451.8444118,1135.6518054000003,5682228.0,4609954.0,0,0,0,0,1135.6518054000003,4609954.0,1135.6518054000003,1135.6518054000003,1135.6518054000003,4609954.0,4609954.0,4609954.0
231,net12.mps.gz,577.6360064,740.2537392,1147.0,2375.0,1,1,1,1,577.6360064,1147.0,577.6360064,577.6360064,577.6360064,1147.0,1147.0,1147.0
232,tanglegram4.mps.gz,3272.9228162,2684.0479108000004,67.0,111.0,0,0,0,0,2684.0479108000004,67.0,2684.0479108000004,2684.0479108000004,2684.0479108000004,111.0,111.0,111.0
233,neos-1601936.mps.gz,13487.386810799999,22627.2977794,14529.0,1.0,1,1,1,1,13487.386810799999,1.0,13487.386810799999,13487.386810799999,13487.386810799999,14529.0,14529.0,14529.0
234,neos-555424.mps.gz,417.9169036,6708.927455800001,21771.0,826575.0,1,1,1,1,417.9169036,21771.0,417.9169036,417.9169036,417.9169036,21771.0,21771.0,21771.0
235,gasprod2-2.mps.gz,1029.3327755999999,4770.7883784,1250.0,6990.0,1,1,1,1,1029.3327755999999,1250.0,1029.3327755999999,1029.3327755999999,1029.3327755999999,1250.0,1250.0,1250.0
236,square23.mps.gz,191.54572259999998,200.307441,178.0,178.0,1,1,1,1,191.54572259999998,178.0,191.54572259999998,191.54572259999998,191.54572259999998,178.0,178.0,178.0
237,gen-ip002.mps.gz,1746.1170927999997,1417.1779254000003,5859548.0,5112787.0,0,0,0,0,1417.1779254000003,5112787.0,1417.1779254000003,1417.1779254000003,1417.1779254000003,5112787.0,5112787.0,5112787.0
238,rocI-4-11.mps.gz,118.18039800000001,96.8813974,14096.0,23652.0,0,1,1,0,96.8813974,14096.0,118.18039800000001,96.8813974,118.18039800000001,14096.0,23652.0,14096.0
239,neos-1425699.mps.gz,0.0136686,0.035905000000000006,1.0,1.0,1,1,1,1,0.0136686,1.0,0.0136686,0.0136686,0.0136686,1.0,1.0,1.0
240,drayage-100-23.mps.gz,9.814938,19.6444124,1.0,12.0,1,1,1,1,9.814938,1.0,9.814938,9.814938,9.814938,1.0,1.0,1.0
241,netdiversion.mps.gz,11210.8353336,2282.4839936,194.0,14.0,0,1,1,0,2282.4839936,14.0,11210.8353336,2282.4839936,11210.8353336,194.0,14.0,194.0
242,chromaticindex128-5.mps.gz,85.96095420000002,1262.3955194,1316.0,100314.0,1,1,1,1,85.96095420000002,1316.0,85.96095420000002,85.96095420000002,85.96095420000002,1316.0,1316.0,1316.0
243,neos-3660371-kurow.mps.gz,409.77370840000003,357.75179639999993,95347.0,67129.0,0,1,1,0,357.75179639999993,67129.0,409.77370840000003,357.75179639999993,409.77370840000003,95347.0,67129.0,95347.0
244,neos-860300.mps.gz,31.2543042,56.770596,1.0,5.0,1,1,1,1,31.2543042,1.0,31.2543042,31.2543042,31.2543042,1.0,1.0,1.0
245,neos-4738912-atrato.mps.gz,3759.9816466,173.659745,278355.0,4714.0,0,1,1,0,173.659745,4714.0,3759.9816466,173.659745,3759.9816466,278355.0,4714.0,278355.0
246,mod011.mps.gz,228.5926748,471.0759052,1164.0,38117.0,1,1,1,1,228.5926748,1164.0,228.5926748,228.5926748,228.5926748,1164.0,1164.0,1164.0
247,mine-90-10.mps.gz,379.6720676,220.2449188,27540.0,31964.0,0,1,1,0,220.2449188,27540.0,379.6720676,220.2449188,379.6720676,27540.0,31964.0,27540.0
248,neos-2978193-inde.mps.gz,2674.3467293999997,2525.1857424,128708.0,146860.0,0,1,1,0,2525.1857424,128708.0,2674.3467293999997,2525.1857424,2674.3467293999997,128708.0,146860.0,128708.0
249,mappingmesh3x3mpeg2i.mps.gz,176.68997900000002,211.33766219999998,3368.0,1045.0,1,1,1,1,176.68997900000002,1045.0,176.68997900000002,176.68997900000002,176.68997900000002,3368.0,3368.0,3368.0
250,rpp22falsei.mps.gz,103.816029,93.38077480000001,1111.0,254.0,0,1,1,0,93.38077480000001,254.0,103.816029,93.38077480000001,103.816029,1111.0,254.0,1111.0
251,var-smallemery-m6j6.mps.gz,8376.1473438,11852.882985999999,685889.0,836578.0,1,1,1,1,8376.1473438,685889.0,8376.1473438,8376.1473438,8376.1473438,685889.0,685889.0,685889.0
252,neos-595904.mps.gz,38.753719600000004,18038.736676,7.0,1129247.4,1,1,1,1,38.753719600000004,7.0,38.753719600000004,38.753719600000004,38.753719600000004,7.0,7.0,7.0
253,nw04.mps.gz,29.8233834,53.32499,1.0,1.0,1,1,1,1,29.8233834,1.0,29.8233834,29.8233834,29.8233834,1.0,1.0,1.0
254,neos-3610173-itata.mps.gz,1.9099793999999999,16.766122000000003,1.0,6854.0,1,1,1,1,1.9099793999999999,1.0,1.9099793999999999,1.9099793999999999,1.9099793999999999,1.0,1.0,1.0
255,fastxgemm-n2r6s0t2.mps.gz,951.4450860000001,1714.3202960000003,127278.0,237583.0,1,1,1,1,951.4450860000001,127278.0,951.4450860000001,951.4450860000001,951.4450860000001,127278.0,127278.0,127278.0
256,lectsched-2.mps.gz,10.6769632,17.2126904,15.0,101.0,1,1,1,1,10.6769632,15.0,10.6769632,10.6769632,10.6769632,15.0,15.0,15.0
257,reblock166.mps.gz,2260.1649952,14289.801580799998,194918.0,3126462.0,1,1,1,1,2260.1649952,194918.0,2260.1649952,2260.1649952,2260.1649952,194918.0,194918.0,194918.0
258,sp98ic.mps.gz,9372.314164200001,14512.898481600001,141964.0,432282.0,1,1,1,1,9372.314164200001,141964.0,9372.314164200001,9372.314164200001,9372.314164200001,141964.0,141964.0,141964.0
259,gasprod1-2.mps.gz,72.2564726,442.568127,612.0,34724.0,1,1,1,1,72.2564726,612.0,72.2564726,72.2564726,72.2564726,612.0,612.0,612.0
260,f2gap801600.mps.gz,1.1939875999999998,607.5192506,1.0,176006.0,1,1,1,1,1.1939875999999998,1.0,1.1939875999999998,1.1939875999999998,1.1939875999999998,1.0,1.0,1.0
261,neos-799711.mps.gz,6600.965804400001,4623.524976000001,622.0,179.0,0,1,1,0,4623.524976000001,179.0,6600.965804400001,4623.524976000001,6600.965804400001,622.0,179.0,622.0
262,l2p12.mps.gz,167.8645894,1463.361562,650.0,99012.0,1,1,1,1,167.8645894,650.0,167.8645894,167.8645894,167.8645894,650.0,650.0,650.0
263,neos-954925.mps.gz,14873.0956884,19174.6051102,2258.0,1696.6,1,1,1,1,14873.0956884,1696.6,14873.0956884,14873.0956884,14873.0956884,2258.0,2258.0,2258.0
264,csched007.mps.gz,2452.0992442,18058.0817552,123917.0,3993177.4,1,1,1,1,2452.0992442,123917.0,2452.0992442,2452.0992442,2452.0992442,123917.0,123917.0,123917.0
