NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
flugpl.mps.gz,1018500.0,0,0,1167875.1663773148,1201500.0,0.028919,0.004639,1201500.0,0.0,13,0,0,68,0.005182,0,0,4,0,optimal,DONE
gasprod1-2.mps.gz,-123584.2728712976,0,0,-1538.0070927408524,983.0406264810736,424.290764,2.925874,983.0406264810736,0.0,22746,0,0,34724,2.324567,0,0,4,0,optimal,DONE
gasprod1-3.mps.gz,-122678.76199836184,0,0,-704.858566955867,2310.1089847190015,392.631267,2.588284,2310.1089847190015,0.0,8832,0,0,28980,2.6791169999999997,0,0,4,0,optimal,DONE
gasprod2-1.mps.gz,508232.48325932526,0,0,1541888.8513565715,1628548.309906681,15157.000024,3.507396,1628548.309906681,0.0,41108,0,0,9609,3.519075,0,0,4,0,optimal,DONE
gasprod2-2.mps.gz,298722.3288687249,0,0,1320756.6994146197,1375631.6634233294,4488.449233,18.873172,1375631.6634233294,0.0,50011,0,0,6990,18.629956,0,0,4,0,optimal,DONE
gen-ip002.mps.gz,-4840.541961300889,0,0,-4840.541961300888,-4783.733391599998,1434.843757,0.014676,-4783.733391599998,0.0,48,0,0,5112787,0.011064,0,0,4,0,optimal,DONE
gen-ip021.mps.gz,2327.8425844887574,0,0,2327.8425844887574,2361.4541951916,627.127528,0.016663,2361.4541951916,0.0,56,0,0,2341056,0.013765,0,0,4,0,optimal,DONE
gen-ip036.mps.gz,-52491.20486913999,0,0,-4632.2981528734645,-4606.6796098376,646.308972,0.010282,-4606.6796098376,0.0,92,0,0,2023646,0.008079,0,0,4,0,optimal,DONE
gen-ip054.mps.gz,6765.209042593413,0,0,6765.209042710155,6840.965641792,1132.44769,0.010768,6840.965641792,0.0,54,0,0,4609954,0.009332,0,0,4,0,optimal,DONE
gen.mps.gz,68621.12467699999,0,0,112274.85026341431,112313.36271799996,0.11683099999999999,0.034154,112313.36271799977,0.0,482,0,0,5,0.035161,0,0,4,0,optimal,DONE
gfd-schedulen55f2d50m30k3i.mps.gz,3.0,0,0,4.0,3316.0,18000.003392,2.926648,3316.0,828.0,140597,0,0,7963,2.853748,0,0,4,0,timelimit,DONE
glass-sc.mps.gz,14.080295856534113,0,0,14.080295856534113,23.0,4039.624029,0.340018,23.0,0.0,12238,0,0,256139,0.241002,0,0,4,0,optimal,DONE
glass4.mps.gz,800002400.0,0,0,800002400.0,1200012599.9996054,1156.129952,0.037459,1200012599.9996054,0.0,782,0,0,2576934,0.032546,0,0,4,0,optimal,DONE
gr4x6.mps.gz,185.55,0,0,185.55,202.35,0.039859,0.011091,202.35,0.0,34,0,0,24,0.01181,0,0,4,0,optimal,DONE
graph20-20-1rand.mps.gz,-13.0,0,0,-13.0,-9.0,7.451104,0.304529,-9.0,0.0,989,0,0,1111,0.316922,0,0,4,0,optimal,DONE
graphdraw-domain.mps.gz,-323.0,0,0,12672.0,19685.99999999877,10387.851644,0.040485,19685.99999999877,0.0,1730,0,0,24553839,0.035450999999999996,0,0,4,0,optimal,DONE
graphdraw-gemcutter.mps.gz,-183.5,0,0,4310.0,7118.499999999999,390.418568,0.027566999999999998,7118.499999999999,0.0,948,0,0,885799,0.021053,0,0,4,0,optimal,DONE
gt2.mps.gz,11908.0,0,0,20146.761297182347,21166.0,0.21082299999999998,0.014138,21166.0,0.0,28,0,0,325,0.015094999999999999,0,0,4,0,optimal,DONE
gus-sch.mps.gz,-3163.0,0,0,-1197.25,-1167.0,12.7652,0.332978,-1167.0,0.0,907,0,0,2150,0.35079699999999997,0,0,4,0,optimal,DONE
h80x6320.mps.gz,3700.0,0,0,3700.0,3700.0,2.261498,1.90882,3700.0,0.0,0,0,0,1,0,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
hypothyroid-k1.mps.gz,-2952.0,0,0,-2902.8525855769776,-2902.8525855769776,8.54486,25.338812,-2902.8525855769776,0.0,2906,0,0,1,24.985221,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
ic97_tension.mps.gz,2606.0,0,0,3892.0,3942.0,42.31462,0.051637999999999996,3942.0,0.0,408,0,0,83938,0.049471,0,0,4,0,optimal,DONE
icir97_tension.mps.gz,6248.0,0,0,6303.0,6375.0,15232.739738,0.403346,6375.0,0.0,1726,0,0,12716437,0.40279699999999996,0,0,4,0,optimal,DONE
